actorLabel,image
Ла Яна,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Jana-Barakovich.jpg
Ла Яна,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Jana%20Binder.jpg
"Шер, Иден",http://commons.wikimedia.org/wiki/Special:FilePath/SDCC%202017%20-%20Eden%20Sher%20%2835758159240%29%20%28cropped%29.jpg
Барбара Палвин,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara%20Palvin%20Vogue%20Interview.jpg
Елиша Хелм Кэлверт,http://commons.wikimedia.org/wiki/Special:FilePath/E.%20H.%20Calvert.jpg
Джон Барроумэн,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Barrowman%20by%20Gage%20Skidmore%202.jpg
"Уэллс, Орсон",http://commons.wikimedia.org/wiki/Special:FilePath/Orson%20Welles%201937.jpg
Улла Якобссон,http://commons.wikimedia.org/wiki/Special:FilePath/A-portrait-of-Ulla-Jacobsson-1963-352041705865.jpg
Грэм Чепмен,http://commons.wikimedia.org/wiki/Special:FilePath/Graham%20Chapman%20%28cropped%29.jpg
Джон Клиз,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Cleese%20%28cropped%29.jpg
Терри Гиллиам,http://commons.wikimedia.org/wiki/Special:FilePath/Terry%20Gilliam%20%2832703418337%29%20CROPPED.jpg
Нанни Моретти,http://commons.wikimedia.org/wiki/Special:FilePath/Nanni%20Moretti%20Cannes%202011.jpg
Пьер Паоло Пазолини,http://commons.wikimedia.org/wiki/Special:FilePath/Pasolini%202.jpg
Пьер Паоло Пазолини,http://commons.wikimedia.org/wiki/Special:FilePath/Pier%20Paolo%20Pasolini.jpg
Кевин Спейси,http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Spacey%2C%20May%202013.jpg
"Брандуарди, Анджело",http://commons.wikimedia.org/wiki/Special:FilePath/Angelo%20Branduardi-Trento-2.JPG
Fabio Fazio,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Fazio%20cropped.jpg
Гас Ван Сент,http://commons.wikimedia.org/wiki/Special:FilePath/Gus%20Van%20Sant-1352.jpg
Кристофер Нолан,http://commons.wikimedia.org/wiki/Special:FilePath/Christopher%20Nolan%20Cannes%202018.jpg
"Ховард, Дуайт",http://commons.wikimedia.org/wiki/Special:FilePath/Dwight%20Howard%20pre-game%20%28cropped%29.jpg
Эрик Стюарт,http://commons.wikimedia.org/wiki/Special:FilePath/Eric%20Stuart%20by%20Gage%20Skidmore.jpg
"Ла Фокс, Айс",http://commons.wikimedia.org/wiki/Special:FilePath/Ice%20La%20Fox%20at%20AVN%20Adult%20Entertainment%20Expo%202006.jpg
Stephen Kramer Glickman,http://commons.wikimedia.org/wiki/Special:FilePath/Stephen%20Kramer%20Glickman%202012.jpg
Варвара Сергеевна Мясникова,http://commons.wikimedia.org/wiki/Special:FilePath/VarvaraMiasnikova.JPG
Леонид Александрович Кмит,http://commons.wikimedia.org/wiki/Special:FilePath/Leonid%20Kmit.JPG
"Пена, Карлос",http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Pena%20Jr%20BTR%20Paparazzo.jpg
Джеймс Маслоу,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Maslow%202019%20%28pujqknUWycM%29.jpg
Джек Хокинс,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Hawkins%202%20Allan%20Warren.jpg
Николай Константинович Симонов,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolai%20Simonov.JPG
"Лиццани, Карло",http://commons.wikimedia.org/wiki/Special:FilePath/Carlo%20Lizzani.jpg
Кори Столл,http://commons.wikimedia.org/wiki/Special:FilePath/Corey%20Stoll%20SDCC%202014.jpg
"Мерседес, Нина",http://commons.wikimedia.org/wiki/Special:FilePath/Nina%20Mercedez%20AEE%202013%203.jpg
"Мерседес, Нина",http://commons.wikimedia.org/wiki/Special:FilePath/Nina%20Mercedez%20at%20Sexpo%20in%20Sydney%2C%20Australia%2003.jpg
Логан Хендерсон,http://commons.wikimedia.org/wiki/Special:FilePath/Logan%20Henderson%20BTR%20Paparazzo.jpg
Такэси Китано,http://commons.wikimedia.org/wiki/Special:FilePath/TakeshiKitano.jpg
Такэси Китано,http://commons.wikimedia.org/wiki/Special:FilePath/Takeshi%20Kitano%202017.jpg
Ариэль Уинтер,http://commons.wikimedia.org/wiki/Special:FilePath/Ariel%20Winter%20Emmys%202016.png
Марк Энтони,http://commons.wikimedia.org/wiki/Special:FilePath/Marc%20Anthony%202010.jpg
Дэвид Джинтоли,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Giuntoli%20by%20Gage%20Skidmore.jpg
Gert van den Bergh,http://commons.wikimedia.org/wiki/Special:FilePath/Die%20Goeie%20ou%20tyd%201944.jpg
Рэй Чэнь,http://commons.wikimedia.org/wiki/Special:FilePath/Chan%20Chi-chuen.jpg
Li Moran,http://commons.wikimedia.org/wiki/Special:FilePath/Li%20Moran%20-%20Jiawu%20Fengyun%20%28cropped%29.jpg
Юрий Николаевич Стоянов,http://commons.wikimedia.org/wiki/Special:FilePath/Yury%20Stoyanov%20M2017-05.jpg
Дэнни Де Вито,http://commons.wikimedia.org/wiki/Special:FilePath/DannyDeVitoHWOFAug2011.jpg
Вейдер,http://commons.wikimedia.org/wiki/Special:FilePath/Vader%202014%20%28cropped%29.jpg
"Ватанабэ, Нацуна",http://commons.wikimedia.org/wiki/Special:FilePath/Natsuna%20-%20Samedi%20-%20Japan%20Expo%202013%20-%20P1670081.jpg
"Спрингер, Джерри",http://commons.wikimedia.org/wiki/Special:FilePath/Jerry%20Springer%20at%20Emory.jpg
Джейсон Льюис,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Lewis%20%28actor%29.jpg
Катья Эбштайн,http://commons.wikimedia.org/wiki/Special:FilePath/2016%20Katja%20Ebstein%20-%20by%202eight%20-%208SC5195.jpg
Катья Эбштайн,http://commons.wikimedia.org/wiki/Special:FilePath/Katja%20Ebstein%20%28Duitsland%29%2C%20Bestanddeelnr%20923-3699.jpg
Мэри Джейн Уотсон,http://commons.wikimedia.org/wiki/Special:FilePath/Kirsten%20Dunst%20Cannes.jpg
Мэри Джейн Уотсон,http://commons.wikimedia.org/wiki/Special:FilePath/NYCC%202014%20-%20Mary%20Jane%20Watson%20%2815306264127%29.jpg
Джуди Денч,http://commons.wikimedia.org/wiki/Special:FilePath/Judi%20Dench%20at%20the%20BAFTAs%202007%20%28cropped%29.jpg
Мирей Инос,http://commons.wikimedia.org/wiki/Special:FilePath/Mireille%20Enos%202013.jpg
Юэль Киннаман,http://commons.wikimedia.org/wiki/Special:FilePath/Joel%20Kinnaman%20%2828494159712%29%20%28cropped%29.jpg
Эдди Редмэйн,http://commons.wikimedia.org/wiki/Special:FilePath/Eddie%20Redmayne%20by%20Gage%20Skidmore.jpg
Скотт Эдкинс,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Adkins%20Hector.jpg
"Марло, Беренис",http://commons.wikimedia.org/wiki/Special:FilePath/BereniceMarloheHWOFNov2012.jpg
Беренис Бежо,http://commons.wikimedia.org/wiki/Special:FilePath/Berenice%20Bejo%20Cannes%202011%20cropped.jpg
Рэйф Файнс,http://commons.wikimedia.org/wiki/Special:FilePath/Ralph%20Fiennes%20from%20%22The%20White%20Crow%22%20at%20Opening%20Ceremony%20of%20the%20Tokyo%20International%20Film%20Festival%202018%20%2831747095048%29.jpg
Мишель Хазанавичус,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Hazanavicius.jpg
Мэл Родригез,http://commons.wikimedia.org/wiki/Special:FilePath/Mel%20Rodriguez%20at%202014%20Imagen%20Awards.jpg
Бет Бродерик,http://commons.wikimedia.org/wiki/Special:FilePath/Beth%20Broderick.jpg
Майкл Баффер,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Buffer%20Fight%20For%20Children%20Washington%20DC%20Nov%202007.JPG
Jessy Mendiola,http://commons.wikimedia.org/wiki/Special:FilePath/Jessy%20Mendiola%2006-19-14.jpg
Галина Сергеевна Уланова,http://commons.wikimedia.org/wiki/Special:FilePath/Galina%20Ulanova%201968.jpg
Галина Сергеевна Уланова,http://commons.wikimedia.org/wiki/Special:FilePath/Russia-2000-stamp-Galina%20Ulanova.jpg
Фрэнк Ллойд,http://commons.wikimedia.org/wiki/Special:FilePath/WP%20Frank%20Lloyd%201920.jpg
Саша Барон Коэн,http://commons.wikimedia.org/wiki/Special:FilePath/Sacha%20Baron%20Cohen%2C%202011.jpg
Мэттью Лиллард,http://commons.wikimedia.org/wiki/Special:FilePath/Matthew%20Lillard%202012.jpg
Десмонд Ллевелин,http://commons.wikimedia.org/wiki/Special:FilePath/Desmond%20Llewelyn%2001.jpg
Бри Ларсон,http://commons.wikimedia.org/wiki/Special:FilePath/Captain%20Marvel%20trailer%20at%20the%20National%20Air%20and%20Space%20Museum%204%20%28cropped%29.jpg
Клей Томпсон,http://commons.wikimedia.org/wiki/Special:FilePath/Klay%20Thompson%20Oct%202012.jpg
"Имаи, Рика",http://commons.wikimedia.org/wiki/Special:FilePath/Rika%20Imai%20%28cropped%29.jpg
"Бузолич, Натаниэль",http://commons.wikimedia.org/wiki/Special:FilePath/Nate%20Buzolic%20%289111878990%29%20cropped.jpg
Аврил Лавин,http://commons.wikimedia.org/wiki/Special:FilePath/Avril%20Lavigne%2C%20Today%20Show%2C%202013.jpg
Бэйли Джей,http://commons.wikimedia.org/wiki/Special:FilePath/Bailey%20Jay%20at%20AVN%20Awards%202011%201%20%28crop%29.jpg
Патти Лабелль,http://commons.wikimedia.org/wiki/Special:FilePath/Patti%20Labelle.jpg
Элли Голдинг,http://commons.wikimedia.org/wiki/Special:FilePath/Ellie%20Goulding%20-%20Global%20Citizen%20Festival%20Hamburg%2007.jpg
Шон Майклз,http://commons.wikimedia.org/wiki/Special:FilePath/Shawn%20Michaels%20WM24%20shot.jpg
Адель Энель,http://commons.wikimedia.org/wiki/Special:FilePath/Ad%C3%A8le%20Haenel%20Cannes%202017.jpg
Брент Корриган,http://commons.wikimedia.org/wiki/Special:FilePath/Brent%20Corrigan%20at%20Hustlaball%20NYC%202014%20%28cropped%29.jpg
Джафар Панахи,http://commons.wikimedia.org/wiki/Special:FilePath/Jafar%20Panahi%2C%20Cines%20del%20Sur%202007-1%20%28cropped%29.jpg
Гару,http://commons.wikimedia.org/wiki/Special:FilePath/Garou%2020060613%20Fnac%2004.jpg
"Гобади, Бахман",http://commons.wikimedia.org/wiki/Special:FilePath/BahmanGhobadi2009.JPG
Бренда Стронг,http://commons.wikimedia.org/wiki/Special:FilePath/Brenda%20Strong%20at%20PaleyFest%202013.jpg
Элвис Пресли,http://commons.wikimedia.org/wiki/Special:FilePath/Elvis%20Presley%20promoting%20Jailhouse%20Rock.jpg
Боб Дилан,http://commons.wikimedia.org/wiki/Special:FilePath/Joan%20Baez%20Bob%20Dylan%20crop.jpg
Дженна Джеймсон,http://commons.wikimedia.org/wiki/Special:FilePath/Jenna%20Jameson%202014.jpg
Билл Мар,http://commons.wikimedia.org/wiki/Special:FilePath/BillMaherSept10.jpg
Владимир Семёнович Высоцкий,http://commons.wikimedia.org/wiki/Special:FilePath/Vladimir%20Vysotsky.jpg
Брижитт Фонтэн,http://commons.wikimedia.org/wiki/Special:FilePath/Brigitte%20Fontaine%2020100330%20Salon%20du%20livre%20de%20Paris%205.jpg
Майкл Блумберг,http://commons.wikimedia.org/wiki/Special:FilePath/Mike%20Bloomberg%20Headshot.jpg
Нил Янг,http://commons.wikimedia.org/wiki/Special:FilePath/Neil%20Young%20Stavernfestivalen%202016%20%28220929%29.jpg
Николь Остин,http://commons.wikimedia.org/wiki/Special:FilePath/Nicole%20%22Coco%22%20Austin%20at%20the%20Tribeca%20Film%20Festival.jpg
Михаил Афанасьевич Булгаков,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB-%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2.jpg
Андрей Арсеньевич Тарковский,http://commons.wikimedia.org/wiki/Special:FilePath/Andrei%20tarkovsky%20stamp%20russia%202007.jpg
Мерил Стрип,http://commons.wikimedia.org/wiki/Special:FilePath/Meryl%20Streep%20December%202018.jpg
Чарли Чаплин,http://commons.wikimedia.org/wiki/Special:FilePath/Charlie%20Chaplin%20portrait.jpg
Джон Леннон,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Lennon%201969%20%28cropped%29.jpg
Синди Лопер,http://commons.wikimedia.org/wiki/Special:FilePath/Cindy%20Lauper%20Kinky%20Boots%20red%20carpet%20premiere%20Capitol%20Theatre%20%2833326507463%29.jpg
Синди Лопер,http://commons.wikimedia.org/wiki/Special:FilePath/Cyndi%20Lauper%202008%20LG%20Center.png
Эдит Пиаф,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89dith%20Piaf%20914-6440.jpg
Эдит Пиаф,http://commons.wikimedia.org/wiki/Special:FilePath/Piaf%20Harcourt%201946%202.jpg
Жак Брель,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Brel%20%281962%29.jpg
Серж Генсбур,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Gainsbourg%20par%20Claude%20Truong-Ngoc%201981.jpg
Мадонна,http://commons.wikimedia.org/wiki/Special:FilePath/Madonna%20Rebel%20Heart%20Tour%202015%20-%20Stockholm%20%2823051472299%29%20%28cropped%29.jpg
Луи Армстронг,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20Armstrong%20restored.jpg
Шарль Азнавур,http://commons.wikimedia.org/wiki/Special:FilePath/2014.06.23.%20Charles%20Aznavour%20Fot%20Mariusz%20Kubik%2001.jpg
Альберто Томба,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Tomba.jpg
Густав Тёни,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Th%C3%B6ni%201972.jpg
Дэвид Линч,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Lynch%20Cannes%202017.jpg
Том Хэнкс,http://commons.wikimedia.org/wiki/Special:FilePath/Tom%20Hanks%20TIFF%202019.jpg
Пол Маккартни,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20McCartney%20in%20October%202018.jpg
Джордж Харрисон,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Harrison%201974%20%28cropped%29.jpg
Чак Норрис,http://commons.wikimedia.org/wiki/Special:FilePath/Chuck%20Norris%20May%202015.jpg
Брюс Уиллис,http://commons.wikimedia.org/wiki/Special:FilePath/Bruce%20Willis%20by%20Gage%20Skidmore%203.jpg
Арнольд Шварценеггер,http://commons.wikimedia.org/wiki/Special:FilePath/Arnold%20Schwarzenegger%20by%20Gage%20Skidmore%204.jpg
Саша Грей,http://commons.wikimedia.org/wiki/Special:FilePath/Sasha%20Grey%202010.jpg
Луи де Фюнес,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20de%20Fun%C3%A8s%201970.jpg
Майкл Джексон,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Jackson%20Dangerous%20World%20Tour%201993.jpg
Джеффри Аренд,http://commons.wikimedia.org/wiki/Special:FilePath/Geoffrey%20Arend%20%28Cropped%29.jpg
Rufus R. Jones,http://commons.wikimedia.org/wiki/Special:FilePath/Rufus%20R.%20Jones%20-%2027%20December%201975%20-%20St%20Louis%20Wrestling%20Club%20p.3%20%28cropped%29.jpg
Джастин Чадвик,http://commons.wikimedia.org/wiki/Special:FilePath/JustinChadwick2012.jpg
Квентин Тарантино,http://commons.wikimedia.org/wiki/Special:FilePath/Quentin%20Tarantino%20by%20Gage%20Skidmore.jpg
"Рудолф, Кевин",http://commons.wikimedia.org/wiki/Special:FilePath/Kevin%20Rudolf.jpg
Грейс Келли,http://commons.wikimedia.org/wiki/Special:FilePath/Grace%20Kelly30419.jpg
Пол Саймон,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%202007.jpg
Пол Саймон,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Simon%20at%20the%209-30%20Club%20%28b%29.jpg
Ричард Стивен Хорвиц,http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Steven%20Horvitz%20Photo%20Op%20GalaxyCon%20Richmond%202020.jpg
Арт Гарфанкел,http://commons.wikimedia.org/wiki/Special:FilePath/Art%20Garfunkel.jpg
Арт Гарфанкел,http://commons.wikimedia.org/wiki/Special:FilePath/ArtGarfunkelPall230717-17%20%28cropped%29.jpg
Си Ло Грин,http://commons.wikimedia.org/wiki/Special:FilePath/CeeLo%20Green%20by%20Gage%20Skidmore.jpg
Кайла Юэлл,http://commons.wikimedia.org/wiki/Special:FilePath/Kayla%20Ewell%202012%20%28b%29.jpg
Патрис О'Нил,http://commons.wikimedia.org/wiki/Special:FilePath/Patrice%20Oneal.jpg
Клэр Холт,http://commons.wikimedia.org/wiki/Special:FilePath/Claire%20Holt%20at%20the%2047%20Meters%20Down%20premiere%20in%20June%202017%2001.png
Джулиан Макмэхон,http://commons.wikimedia.org/wiki/Special:FilePath/Julian%20McMahon.jpg
Джеймс Коберн,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Coburn%20The%20Californians%201959.JPG
Майли Сайрус,http://commons.wikimedia.org/wiki/Special:FilePath/Miley%20Cyrus%20Primavera19%20-226%20%2848986293772%29%20%28cropped%29.jpg
Джон Абрахамс,http://commons.wikimedia.org/wiki/Special:FilePath/Jon%20Abrahams%20%28cropped%29.jpg
Роджер Бампасс,http://commons.wikimedia.org/wiki/Special:FilePath/Rodger%20Bumpass%20-%20Standing%20at%20Panel%20-%20Cropped.jpg
Джиммі Беннет,http://commons.wikimedia.org/wiki/Special:FilePath/Jimmy%20Bennett.jpg
Мистер Лоуренс,http://commons.wikimedia.org/wiki/Special:FilePath/Mr.%20Lawrence%20-%20Panel%20-%20Cropped.jpg
Эрик Бана,http://commons.wikimedia.org/wiki/Special:FilePath/Eric%20Bana%20at%20the%202009%20Tribeca%20Film%20Festival.jpg
Тройэн Беллисарио,http://commons.wikimedia.org/wiki/Special:FilePath/Troian%20Belisario%20at%20Paley%20Fest2014%20%28cropped%29%20%28cropped%29.jpg
Питер Джексон,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Jackson%20ONZ%20%28cropped%29.jpg
Дженнет Маккарди,http://commons.wikimedia.org/wiki/Special:FilePath/Jennette%20McCurdy%202012.jpg
Клэнси Браун,http://commons.wikimedia.org/wiki/Special:FilePath/Clancy%20Brown.jpg
Анна Фэрис,http://commons.wikimedia.org/wiki/Special:FilePath/Feed%20America%2C%20Cloudy%20with%20a%20Chance%20of%20Meatballs%202%2C%20Anna%20Faris%20%28cropped%29.jpg
"Диа, Беатриса де",http://commons.wikimedia.org/wiki/Special:FilePath/Beatriz%20de%20Dia%20-%20BN%20MS12473%201.jpg
Хлоя Морец,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Equalizer%2003%20%2815127086058%29%20-%20Chlo%C3%AB%20Moretz%20%28cropped%29.jpg
Элисон Ломан,http://commons.wikimedia.org/wiki/Special:FilePath/Alison%20Lohman%202011.jpg
Джонатан Уинтерс,http://commons.wikimedia.org/wiki/Special:FilePath/Jonathan-Winters%201986.JPEG
Дэниел Крэйг,http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Craig%20-%20Film%20Premiere%20%22Spectre%22%20007%20-%20on%20the%20Red%20Carpet%20in%20Berlin%20%2822387409720%29%20%28cropped%29.jpg
Шон Коннери,http://commons.wikimedia.org/wiki/Special:FilePath/Sean%20Connery%20%281983%29.jpg
Сара Бернар,http://commons.wikimedia.org/wiki/Special:FilePath/Sarah%20Bernhardt%20by%20Paul%20Nadar%20%28crop%29.jpg
Марлен Дитрих,http://commons.wikimedia.org/wiki/Special:FilePath/Marlene%20Dietrich%20in%20No%20Highway%20%281951%29%20%28Cropped%29.png
Мэрилин Монро,http://commons.wikimedia.org/wiki/Special:FilePath/Monroecirca1953.jpg
Барбра Стрейзанд,http://commons.wikimedia.org/wiki/Special:FilePath/Barbra%20Streisand%20with%20Francis%20Collins%20and%20Anthony%20Fauci%20%2827806589237%29%20%28cropped%29.jpg
Пауль Отто,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Otto%20by%20Alexander%20Binder.jpg
Джоан Лорринг,http://commons.wikimedia.org/wiki/Special:FilePath/Joan%20Lorring%201946.JPG
Джейсон Ли,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Lee%20-%20Away%20and%20Back%20premiere%20%28cropped%29.jpg
Миранда Косгроув,http://commons.wikimedia.org/wiki/Special:FilePath/Miranda%20Cosgrove%202021.jpg
Дэвид Боуи,http://commons.wikimedia.org/wiki/Special:FilePath/David-Bowie%20Chicago%202002-08-08%20photoby%20Adam-Bielawski-cropped.jpg
Грета Гарбо,http://commons.wikimedia.org/wiki/Special:FilePath/Greta%20Garbo%20in%20a%20publicity%20image%20for%20%22Anna%20Christie%22.jpg
Сальвадор Дали,http://commons.wikimedia.org/wiki/Special:FilePath/Dali%20Allan%20Warren.jpg
Марсель Дюшан,http://commons.wikimedia.org/wiki/Special:FilePath/Marcel%20Duchamp%2001.jpg
50 Cent,http://commons.wikimedia.org/wiki/Special:FilePath/50%20cent%20in%20concert%20%28cropped%29.jpg
Dr. Dre,http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Dre%20in%202011.jpg
Snoop Dogg,http://commons.wikimedia.org/wiki/Special:FilePath/Snoop%20Dogg%202019%20by%20Glenn%20Francis.jpg
Тупак Шакур,http://commons.wikimedia.org/wiki/Special:FilePath/Tupac%20graffiti%2C%20Vlasotince%2C%20Serbia.jpg
Лена Майер-Ландрут,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Lena%20-%20by%202eight%20-%20DSC4476.jpg
Джонни Ли Миллер,http://commons.wikimedia.org/wiki/Special:FilePath/Jonny%20Lee%20Miller%20Comic-Con%202012%20%28cropped%29.jpg
"Мэннинг, Пейтон",http://commons.wikimedia.org/wiki/Special:FilePath/Peyton%20Manning%20%2851665689271%29.jpg
Принс,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20at%20Coachella%20%28cropped%29.jpg
Ингмар Бергман,http://commons.wikimedia.org/wiki/Special:FilePath/Ingmar%20Bergman%20%281966%29.jpg
Людовик XIV,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20XIV%20of%20France.jpg
Людовик XIV,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20XIV%2C%20King%20of%20France%2C%20after%20Lefebvre%20-%20Les%20collections%20du%20ch%C3%A2teau%20de%20Versailles.jpg
Борис Виан,http://commons.wikimedia.org/wiki/Special:FilePath/Boris%20Vian.jpg
Carly Rose Sonenclar,http://commons.wikimedia.org/wiki/Special:FilePath/Carly%20Rose%20Sonenclar%20X%20Factor%202012%20%282%29.jpg
Николас Мейер,http://commons.wikimedia.org/wiki/Special:FilePath/Nicholas%20Meyer%20%2828891156353%29%20%28cropped%29.jpg
Странный Эл Янкович,http://commons.wikimedia.org/wiki/Special:FilePath/AlYankovicByKristineSlipson.jpg
Уолт Дисней,http://commons.wikimedia.org/wiki/Special:FilePath/Walt%20Disney%201946.JPG
Стивен Спилберг,http://commons.wikimedia.org/wiki/Special:FilePath/Steven%20Spielberg%20Masterclass%20Cin%C3%A9math%C3%A8que%20Fran%C3%A7aise%202%20cropped.jpg
Лиам Хемсворт,http://commons.wikimedia.org/wiki/Special:FilePath/Liam%20Hemsworth%20June%202016.jpg
Чан Гын Сок,http://commons.wikimedia.org/wiki/Special:FilePath/Jang%20Keun-suk%20from%20acrofan.jpg
Катарина Ивановска,http://commons.wikimedia.org/wiki/Special:FilePath/Katarina%20Ivanovska%20crop.jpg
Катарина Ивановска,http://commons.wikimedia.org/wiki/Special:FilePath/Katarina%20Ivanovska3.jpg
Нина Ботт,http://commons.wikimedia.org/wiki/Special:FilePath/2012-05-31%20Studio%20Hamburg%20Nachwuchspreis%20DSCF0715.jpg
Ниа Вардалос,http://commons.wikimedia.org/wiki/Special:FilePath/Nia%20Vardalos%202011.jpg
Ниа Вардалос,http://commons.wikimedia.org/wiki/Special:FilePath/Nia%20Vardalos%20in%202011%20cropped%20retouched.jpg
Лита Грей,http://commons.wikimedia.org/wiki/Special:FilePath/Lita%20Grey.jpg
Сонали Бендре,http://commons.wikimedia.org/wiki/Special:FilePath/Sonali%20Bendre%20graces%20closing%20ceremony%20of%20IFFI%202017%20in%20Goa%20%2806%29%20%28cropped%29.jpg
Сендхил Рамамурти,http://commons.wikimedia.org/wiki/Special:FilePath/Sendhil%20Ramamurthy%20%281%29.jpg
Генри Ирвинг,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Irving%20portrait.jpg
Дженнифер Энистон,http://commons.wikimedia.org/wiki/Special:FilePath/JenniferAnistonHWoFFeb2012.jpg
Мьетта,http://commons.wikimedia.org/wiki/Special:FilePath/Mietta%20%40%20Camellino%202016%20%28cropped%29.jpg
"Аплин, Габриэль",http://commons.wikimedia.org/wiki/Special:FilePath/Gabrielle%20Aplin%2025th%20June.jpg
"Шаффер, Аттикус",http://commons.wikimedia.org/wiki/Special:FilePath/AtticusShafferHWOFMay2012.jpg
Miroslav Krobot,http://commons.wikimedia.org/wiki/Special:FilePath/DD%20Krobot.JPG
Alan Carr,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Carr%20at%20The%20British%20Comedy%20Awards%202007.jpg
Антон фон Клесгейм,http://commons.wikimedia.org/wiki/Special:FilePath/Anton%20Freiherr%20von%20Klesheim%201882%20Wiener%20Salonblatt.png
Rituparno Ghosh,http://commons.wikimedia.org/wiki/Special:FilePath/Rituparno.jpg
Валерий Яковлевич Леонтьев,http://commons.wikimedia.org/wiki/Special:FilePath/Valery%20Leontiev%20at%20Laima%20Rendez%20Vous%20Jurmala%202017%20%282%29%20%28cropped%29.jpg
Graham Bonney,http://commons.wikimedia.org/wiki/Special:FilePath/Graham%20bonney%202009%206505.jpg
Sule,http://commons.wikimedia.org/wiki/Special:FilePath/Sule%20Sutisna%2C%20Ini%20Talk%20Show%2C%2007.21.jpg
Дрейк,http://commons.wikimedia.org/wiki/Special:FilePath/Drake%20July%202016.jpg
Кеша,http://commons.wikimedia.org/wiki/Special:FilePath/Kesha%20AMAs%202019%20%28cropped%29.png
Наталия Дилл,http://commons.wikimedia.org/wiki/Special:FilePath/Nathalia%20Dill%20em%20cena%20do%20filme%20%22Por%20Tr%C3%A1s%20Do%20C%C3%A9u%22.jpg
"Джемисон, Мэй Кэрол",http://commons.wikimedia.org/wiki/Special:FilePath/Mae%20Carol%20Jemison.jpg
Уитни Хьюстон,http://commons.wikimedia.org/wiki/Special:FilePath/Whitney%20Houston%20%28cropped3%29.JPEG
Шакира,http://commons.wikimedia.org/wiki/Special:FilePath/Shakira%20for%20VOGUE%20in%202021%202.png
Бела Лугоши,http://commons.wikimedia.org/wiki/Special:FilePath/Lugosi%20B%C3%A9la%20fortepan%2014652%20%28cropped%29.jpg
Итиро Мидзуки,http://commons.wikimedia.org/wiki/Special:FilePath/Ichiro%20Mizuki%2020070706%20Japan%20Expo%2003.jpg
