breedLabel,breedImage
Ликой,http://commons.wikimedia.org/wiki/Special:FilePath/8-month-old%20male%20Lykoi.jpg
Bombay,http://commons.wikimedia.org/wiki/Special:FilePath/Shadow%20the%20Bombay%20Cat.jpg
Египетская мау,http://commons.wikimedia.org/wiki/Special:FilePath/Egy%20mau.jpg
Донской сфинкс,http://commons.wikimedia.org/wiki/Special:FilePath/Don%20sphynx.jpg
Серенгети,http://commons.wikimedia.org/wiki/Special:FilePath/Serengetimalecat.jpg
Тойгер,http://commons.wikimedia.org/wiki/Special:FilePath/Toyger%20male%20queenanne.JPG
Dragon Li,http://commons.wikimedia.org/wiki/Special:FilePath/Dragon%20Li%20-%20Li%20Hua%20Mau1.jpg
Курильский бобтейл,http://commons.wikimedia.org/wiki/Special:FilePath/Kurilian%20bobtail.JPG
American Bobtail,http://commons.wikimedia.org/wiki/Special:FilePath/Cat-MaineCoon-Lucy.png
Абиссинская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Abessinierkater1.jpg
Абиссинская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Abyssinian%20cat.png
Абиссинская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20chocolate.jpg
американский кёрл,http://commons.wikimedia.org/wiki/Special:FilePath/American%20curl%202.jpg
Американская короткошёрстная кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Jewelkatz%20Romeo%20Of%20Stalker-Bars.jpg
Американская жесткошёрстная кошка,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Wirehair%20-%20CFF%20cat%20show%20Heinola%202008-05-04%20IMG%208721.JPG
Аравийский мау,http://commons.wikimedia.org/wiki/Special:FilePath/Bex%20Arabian%20Mau.jpg
Азиатская табби,http://commons.wikimedia.org/wiki/Special:FilePath/BrownVarientAsianCat.JPG
Австралийская дымчатая кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Mist.jpg
Австралийская дымчатая кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Mist%20%284985423018%29.jpg
Балинезийская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Balinais.jpg
Балинезийская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Balinese%20cat.jpg
домашний короткошёрстный кот,http://commons.wikimedia.org/wiki/Special:FilePath/Chat%20de%20goutti%C3%A8re%20-%2020150314%2023h24%20%2810007%29.jpg
домашний короткошёрстный кот,http://commons.wikimedia.org/wiki/Special:FilePath/Domestic%20short-haired%20cat.jpg
Европейская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/European-cat%20show%20Helsinki%202008.JPG
Бурмилла,http://commons.wikimedia.org/wiki/Special:FilePath/Male%20Burmilla%20cat.jpeg
