element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q556,водород,H,1,1766,Генри Кавендиш,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrogen%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Джозеф Норман Локьер,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Пьер Жюль Сезар Жансен,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q560,гелий,He,2,1868,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Helium%20discharge%20tube.jpg
http://www.wikidata.org/entity/Q568,литий,Li,3,1817,Иоганн Арфведсон,http://commons.wikimedia.org/wiki/Special:FilePath/Lithium%20paraffin.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Фридрих Вёлер,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Луи Никола Воклен,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q569,бериллий,Be,4,1798,Антуан Александр Брутус Бюсси,http://commons.wikimedia.org/wiki/Special:FilePath/Beryllium%20nuggets%202.jpg
http://www.wikidata.org/entity/Q618,бор,B,5,1892,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Boron.jpg
http://www.wikidata.org/entity/Q623,углерод,C,6,1789,Антуан Лоран Лавуазье,http://commons.wikimedia.org/wiki/Special:FilePath/Coal%20anthracite.jpg
http://www.wikidata.org/entity/Q627,азот,N,7,1772,"Рутерфорд, Даниель",http://commons.wikimedia.org/wiki/Special:FilePath/Liquidnitrogen.jpg
http://www.wikidata.org/entity/Q629,кислород,O,8,1774,Карл Вильгельм Шееле,http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20oxygen%20in%20a%20beaker%204.jpg
http://www.wikidata.org/entity/Q650,фтор,F,9,1810,"Ампер, Андре-Мари",http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20fluorine%20tighter%20crop.jpg
http://www.wikidata.org/entity/Q650,фтор,F,9,1810,Анри Муассан,http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20fluorine%20tighter%20crop.jpg
http://www.wikidata.org/entity/Q654,неон,Ne,10,1898,"Траверс, Морис Уильям",http://commons.wikimedia.org/wiki/Special:FilePath/NeTube.jpg
http://www.wikidata.org/entity/Q654,неон,Ne,10,1898,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/NeTube.jpg
http://www.wikidata.org/entity/Q658,натрий,Na,11,1807,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Na%20%28Sodium%29.jpg
http://www.wikidata.org/entity/Q660,магний,Mg,12,1755,Джозеф Блэк,http://commons.wikimedia.org/wiki/Special:FilePath/Magnesium%20crystals.jpg
http://www.wikidata.org/entity/Q663,алюминий,Al,13,1825,Ханс Кристиан Эрстед,http://commons.wikimedia.org/wiki/Special:FilePath/Aluminium-4.jpg
http://www.wikidata.org/entity/Q670,кремний,Si,14,1823,Йёнс Якоб Берцелиус,http://commons.wikimedia.org/wiki/Special:FilePath/SiliconCroda.jpg
http://www.wikidata.org/entity/Q674,фосфор,P,15,1669,Хенниг Бранд,http://commons.wikimedia.org/wiki/Special:FilePath/Phosphor.JPG
http://www.wikidata.org/entity/Q682,сера,S,16,1777,Антуан Лоран Лавуазье,http://commons.wikimedia.org/wiki/Special:FilePath/Sulfur%20-%20El%20Desierto%20mine%2C%20San%20Pablo%20de%20Napa%2C%20Daniel%20Campos%20Province%2C%20Potos%C3%AD%2C%20Bolivia.jpg
http://www.wikidata.org/entity/Q688,хлор,Cl,17,1774,Карл Вильгельм Шееле,http://commons.wikimedia.org/wiki/Special:FilePath/Chlorine%20liquid%20in%20an%20ampoule.jpg
http://www.wikidata.org/entity/Q696,аргон,Ar,18,1894,Джон Уильям Стретт,http://commons.wikimedia.org/wiki/Special:FilePath/Argon%20ice%201.jpg
http://www.wikidata.org/entity/Q696,аргон,Ar,18,1894,Уильям Рамзай,http://commons.wikimedia.org/wiki/Special:FilePath/Argon%20ice%201.jpg
http://www.wikidata.org/entity/Q703,калий,K,19,1807,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Kalium.jpg
http://www.wikidata.org/entity/Q706,кальций,Ca,20,1808,Гемфри Дэви,http://commons.wikimedia.org/wiki/Special:FilePath/Calcium%201.jpg
http://www.wikidata.org/entity/Q713,скандий,Sc,21,1879,Ларс Фредерик Нильсон,http://commons.wikimedia.org/wiki/Special:FilePath/Scandium%20sublimed%20dendritic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q716,титан,Ti,22,1791,Фридрих Вёлер,http://commons.wikimedia.org/wiki/Special:FilePath/Titan-crystal%20bar.JPG
http://www.wikidata.org/entity/Q722,ванадий,V,23,1801,Андрес Мануэль дель Рио,http://commons.wikimedia.org/wiki/Special:FilePath/Vanadium%201.jpg
http://www.wikidata.org/entity/Q725,хром,Cr,24,1797,Луи Никола Воклен,http://commons.wikimedia.org/wiki/Special:FilePath/Chromium%20crystals%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q731,марганец,Mn,25,1774,Юхан Готлиб Ган,http://commons.wikimedia.org/wiki/Special:FilePath/Manganese%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q677,железо,Fe,26,-5000,http://www.wikidata.org/.well-known/genid/fd1d2a0f5ae583e820451b0fc1a8c274,http://commons.wikimedia.org/wiki/Special:FilePath/Iron%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q740,кобальт,Co,27,1735,Георг Брандт,http://commons.wikimedia.org/wiki/Special:FilePath/Kobalt%20electrolytic%20and%201cm3%20cube.jpg
http://www.wikidata.org/entity/Q744,никель,Ni,28,1751,"Кронштедт, Аксель",http://commons.wikimedia.org/wiki/Special:FilePath/Electrolytic%20nickel.jpg
http://www.wikidata.org/entity/Q753,медь,Cu,29,,,http://commons.wikimedia.org/wiki/Special:FilePath/NatCopper.jpg
