countryLabel,capitalLabel,flagImage
Австралия,Канберра,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Australia%20%28converted%29.svg
Австрия,Вена,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Austria.svg
Азербайджан,Баку,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Azerbaijan.svg
Албания,Тирана,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Albania.svg
Алжир,Алжир,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Algeria.svg
Ангола,Луанда,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Angola.svg
Андорра,Андорра-ла-Велья,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Andorra.svg
Антигуа и Барбуда,Сент-Джонс,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Antigua%20and%20Barbuda.svg
Аргентина,Буэнос-Айрес,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Argentina.svg
Армения,Ереван,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Armenia.svg
Афганистан,Кабул,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Taliban.svg
Багамские Острова,Нассау,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Bahamas.svg
Бангладеш,Дакка,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bangladesh.svg
Барбадос,Бриджтаун,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Barbados.svg
Бахрейн,Манама,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bahrain.svg
Белиз,Бельмопан,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belize.svg
Белоруссия,Минск,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belarus.svg
Бельгия,Брюссель,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium%20%28civil%29.svg
Бенин,Порто-Ново,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Benin.svg
Болгария,София,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bulgaria.svg
Боливия,Сукре,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg
Боливия,Ла-Пас,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bolivia.svg
Босния и Герцеговина,Сараево,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bosnia%20and%20Herzegovina.svg
Ботсвана,Габороне,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Botswana.svg
Бразилия,Бразилиа,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Brazil.svg
Бруней,Бандар-Сери-Бегаван,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Brunei.svg
Буркина-Фасо,Уагадугу,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Burkina%20Faso.svg
Бурунди,Гитега,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Burundi.svg
Бутан,Тхимпху,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bhutan.svg
Вануату,Порт-Вила,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vanuatu.svg
Ватикан,,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Vatican%20City.svg
Великобритания,Лондон,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%283-5%29.svg
