breedLabel,breedImage
Ariege Pointer,http://commons.wikimedia.org/wiki/Special:FilePath/Pointer%20of%20Ariege%20from%201915.JPG
Cesky Fousek,http://commons.wikimedia.org/wiki/Special:FilePath/Cesky%20Fousek%20Flickr.jpg
Cesky Fousek,http://commons.wikimedia.org/wiki/Special:FilePath/Czeski%20fousek%20777.jpg
Chippiparai,http://commons.wikimedia.org/wiki/Special:FilePath/Female%20Chippiparai%20sitting.jpg
Mudhol Hound,http://commons.wikimedia.org/wiki/Special:FilePath/Caravan%20hound%20Closeupfire.jpg
Китайская собака Чунцин,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese%20Chongqing%20Dog%20H%C3%BCndin.jpg
Ка де Бо,http://commons.wikimedia.org/wiki/Special:FilePath/Ca%20de%20bou%20dog.jpg
Хортая борзая,http://commons.wikimedia.org/wiki/Special:FilePath/Hortaya%20Borzaya.jpg
Bully Kutta,http://commons.wikimedia.org/wiki/Special:FilePath/Bully%20kutta%20naulakhia.tif
Bully Kutta,http://commons.wikimedia.org/wiki/Special:FilePath/PakistaniMastiffPunjab.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/%282%29%20Ch%20Rowdytowns%20Hardrock%20Cafe%20-%20AmStaff.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/%282%29American%20Staffordshire%20Terrier%20Mumford.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%D0%A1%D1%82%D0%B0%D1%84%D1%84%D0%BE%D1%80%D0%B4%D1%88%D0%B8%D1%80%D1%81%D0%BA%D0%B8%D0%B9%D0%A2%D0%B5%D1%80%D1%8C%D0%B5%D1%80.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/2.%20American%20Staffordshire%20Terrier.png
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Staffordshire%20Sundy%201.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Staffordshire%20Terrier.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/AMERICAN%20STAFFORDSHIRE%20TERRIER%2C%20Zican%E2%80%99s%20Bz%20Ez%20Dragon%20%2824208348891%29.2.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/AmericanStafforshireTerrier.jpg
американский стаффордширский терьер,http://commons.wikimedia.org/wiki/Special:FilePath/Amstaff%209%20months%20old%20cropped%20ears2.jpg
Алано,http://commons.wikimedia.org/wiki/Special:FilePath/Alano-espanol-0003.jpg
Алано,http://commons.wikimedia.org/wiki/Special:FilePath/Spanish%20Alano%202.jpg
Barak hound,http://commons.wikimedia.org/wiki/Special:FilePath/BIR%20Grupp%206-%20BOSANSKI%20OSTRODLAKI%20GONIC-BARAK%2C%20Sandy%20%2823866392689%29.jpg
Аппенцеллер зенненхунд,http://commons.wikimedia.org/wiki/Special:FilePath/Abora%20z%20Velk%C3%A9ho%20%C3%9Ajezda5.jpg
Аппенцеллер зенненхунд,http://commons.wikimedia.org/wiki/Special:FilePath/Appenzeller%20Sennenhund.JPG
Аппенцеллер зенненхунд,http://commons.wikimedia.org/wiki/Special:FilePath/BADDY%20Czech%20Tricolor%20%282%29.jpg
Американский эскимосский шпиц,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Eskimo%20Dog.jpg
Американский эскимосский шпиц,http://commons.wikimedia.org/wiki/Special:FilePath/American%20Eskimo%20Dog%201.jpg
Бобтейл,http://commons.wikimedia.org/wiki/Special:FilePath/Bobtail.JPG
Бобтейл,http://commons.wikimedia.org/wiki/Special:FilePath/Chiot%20bobtail.jpg
Бобтейл,http://commons.wikimedia.org/wiki/Special:FilePath/Old%20english%20sheepdog%20Ch%20Bobbyclown%27s%20Dare%20for%20More.jpg
Бордер-колли,http://commons.wikimedia.org/wiki/Special:FilePath/Border%20Collie%20600.jpg
Бассет-хаунд,http://commons.wikimedia.org/wiki/Special:FilePath/BassetHoundDog.jpg
Бассет-хаунд,http://commons.wikimedia.org/wiki/Special:FilePath/Bvdb-bassethound1.jpg
Бассет-хаунд,http://commons.wikimedia.org/wiki/Special:FilePath/Bvdb-bassethound2.jpg
Босерон,http://commons.wikimedia.org/wiki/Special:FilePath/BeauceronStand.jpg
Каролинская собака,http://commons.wikimedia.org/wiki/Special:FilePath/Carolina%20Strand.jpg
Каролинская собака,http://commons.wikimedia.org/wiki/Special:FilePath/Karol%C3%ADnsk%C3%BD%20pes.jpeg
Чинук,http://commons.wikimedia.org/wiki/Special:FilePath/Chinook%20dogs.jpg
Чинук,http://commons.wikimedia.org/wiki/Special:FilePath/Mountan%20Laurel%20Ajax%20the%20Chinook%20dog.jpg
Овернский бракк,http://commons.wikimedia.org/wiki/Special:FilePath/Braque%20d%20Auvergne.jpg
Braque Français,http://commons.wikimedia.org/wiki/Special:FilePath/Wy%C5%BCe%C5%82%20pirenejski%20308.jpg
Азорская пастушья собака,http://commons.wikimedia.org/wiki/Special:FilePath/Caofila.jpg
Португальская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Cao%20de%20Serra%20de%20Aires600.jpg
Брогольмер,http://commons.wikimedia.org/wiki/Special:FilePath/Broholmer%20634.jpg
Арденский бувье,http://commons.wikimedia.org/wiki/Special:FilePath/Boyero-de-las-ardenas7.jpg
Чешская пастушья собака,http://commons.wikimedia.org/wiki/Special:FilePath/Chodsky%20pies%2054.jpg
Чешская пастушья собака,http://commons.wikimedia.org/wiki/Special:FilePath/OREADY%20KROSANDRA%20%2814%29.JPG
Чешская пастушья собака,http://commons.wikimedia.org/wiki/Special:FilePath/Caesar%20Chodsk%C3%BD%20drahokam.jpg
Чешская пастушья собака,http://commons.wikimedia.org/wiki/Special:FilePath/OREADY%20KROSANDRA%20%2815%29.JPG
Канарский дог,http://commons.wikimedia.org/wiki/Special:FilePath/Presa-brindle4.jpg
Канарский дог,http://commons.wikimedia.org/wiki/Special:FilePath/Presa-Canario-Dogo-Brindle-Dog-1024x768.jpg
Канарский дог,http://commons.wikimedia.org/wiki/Special:FilePath/Presacanariobody.jpg
Канарский дог,http://commons.wikimedia.org/wiki/Special:FilePath/Sentaya3.jpg
Поденко ибиценко,http://commons.wikimedia.org/wiki/Special:FilePath/Podenco%20Ibienco.jpg
Поденко ибиценко,http://commons.wikimedia.org/wiki/Special:FilePath/AdemasAout2021.ret.jpg
Артуазская гончая,http://commons.wikimedia.org/wiki/Special:FilePath/Artois%20from%201915.JPG
Great Gascony Blue,http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Bleu%20de%20Gascogne%20in%20a%20blue%20dogcollar.jpg
Cursinu,http://commons.wikimedia.org/wiki/Special:FilePath/Cursinu%201.jpg
Немецкий штихельхаар,http://commons.wikimedia.org/wiki/Special:FilePath/03030288%20Deutsch%20Stichelhaa.jpg
Древер,http://commons.wikimedia.org/wiki/Special:FilePath/Drever%20NUCh%20Tanjo.jpg
Serbian Tricolour Hound,http://commons.wikimedia.org/wiki/Special:FilePath/Srpski%20Trobojni%20Gonic.gif
Английский той-терьер,http://commons.wikimedia.org/wiki/Special:FilePath/English%20Toy%20Terrier%20600%2001.jpg
Пиренейская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Berger-des-Pyrenees%20Adeux%200302x0214.jpg
Английский фоксхаунд,http://commons.wikimedia.org/wiki/Special:FilePath/English%20foxhound.jpg
Английский фоксхаунд,http://commons.wikimedia.org/wiki/Special:FilePath/English%20Foxhound.jpg
Немецкий пинчер,http://commons.wikimedia.org/wiki/Special:FilePath/German%20Pinscher.JPG
Blue Picardy Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20bleu%20de%20picardie%20868.jpg
Blue Picardy Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20bleu%20de%20picardie%20g%C5%82owa%20098.jpg
Пиренейская горная собака,http://commons.wikimedia.org/wiki/Special:FilePath/Pyrenean%20Mountain%20Dog%20600.jpg
Бразильский фила,http://commons.wikimedia.org/wiki/Special:FilePath/Yacare%20De%20El%20Siledin.JPG
Дратхаар,http://commons.wikimedia.org/wiki/Special:FilePath/GermanWirehrPtr1%20wb.jpg
Лакенуа,http://commons.wikimedia.org/wiki/Special:FilePath/Belgian%20Laekenois%20600.jpg
Бриар,http://commons.wikimedia.org/wiki/Special:FilePath/Briard%20fauve.JPG
немецкий вахтельхунд,http://commons.wikimedia.org/wiki/Special:FilePath/Deutscher%20Wachtel%202.jpg
Drentse Patrijshond,http://commons.wikimedia.org/wiki/Special:FilePath/Drentse%20Patrijshond.jpg
Английская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/TricolorEnglishShepherdDog.jpg
Румынская миоритская овчарка,http://commons.wikimedia.org/wiki/Special:FilePath/Mioritic.jpg
Лангхаар,http://commons.wikimedia.org/wiki/Special:FilePath/DeutschLanghaarneu.jpg
Deutsche Bracke,http://commons.wikimedia.org/wiki/Special:FilePath/DeutscheBracke.jpg
Финская гончая,http://commons.wikimedia.org/wiki/Special:FilePath/Nuori-suomenajokoira.jpg
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/04031158%20Epagneul%20Pont%20Audemer.jpg
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20de%20pont-audemer%20509.jpg
Pont-Audemer Spaniel,http://commons.wikimedia.org/wiki/Special:FilePath/Epagneul%20de%20pont-audemer%20h67.jpg
