element,elementLabel,image
http://www.wikidata.org/entity/Q2373859,Пигостиль,http://commons.wikimedia.org/wiki/Special:FilePath/Squelette%20oiseau.svg
http://www.wikidata.org/entity/Q2373859,Пигостиль,http://commons.wikimedia.org/wiki/Special:FilePath/YixianornisGrabaui-PaleozoologicalMuseumOfChina-May23-08.jpg
http://www.wikidata.org/entity/Q5045860,Пряжка,http://commons.wikimedia.org/wiki/Special:FilePath/Carpometacarpus.png
http://www.wikidata.org/entity/Q1432336,тибиотарзус,http://commons.wikimedia.org/wiki/Special:FilePath/Tibiotarsi%20of%20extinct%20birds.jpg
http://www.wikidata.org/entity/Q196672,ребро,http://commons.wikimedia.org/wiki/Special:FilePath/Costillas.png
http://www.wikidata.org/entity/Q186102,Скуловая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Gray164.png
http://www.wikidata.org/entity/Q16332,Подъязычная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Hyoid%20bone%20-%20animation.gif
http://www.wikidata.org/entity/Q13141,полулунная кость,http://commons.wikimedia.org/wiki/Special:FilePath/The%20left%20lunate%20bone%2C%20from%20Gray%20fig.222.png
http://www.wikidata.org/entity/Q792567,эпистрофей,http://commons.wikimedia.org/wiki/Special:FilePath/Axis%20vertebrae.jpg
http://www.wikidata.org/entity/Q792567,эпистрофей,http://commons.wikimedia.org/wiki/Special:FilePath/C2%20from%20top%20animation%20small.gif
http://www.wikidata.org/entity/Q792567,эпистрофей,http://commons.wikimedia.org/wiki/Special:FilePath/C2%20lateral.png
http://www.wikidata.org/entity/Q792567,эпистрофей,http://commons.wikimedia.org/wiki/Special:FilePath/Cervical%20vertebra%202%20close-up%20top%20animation.gif
http://www.wikidata.org/entity/Q792567,эпистрофей,http://commons.wikimedia.org/wiki/Special:FilePath/Gray87.png
http://www.wikidata.org/entity/Q178492,лучевая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Full%20Medial%20View%20of%20Right%20Radius.png
http://www.wikidata.org/entity/Q178492,лучевая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Galeazzi%20Fracture%20of%20Distal%20Radius.jpg
http://www.wikidata.org/entity/Q233316,Крестец,http://commons.wikimedia.org/wiki/Special:FilePath/Sacrum%20%28PSF%29.png
http://www.wikidata.org/entity/Q38155,Носовая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Nasal%20bone.png
http://www.wikidata.org/entity/Q405478,поясничные позвонки,http://commons.wikimedia.org/wiki/Special:FilePath/Blausen%200618%20LumbarSpine.png
http://www.wikidata.org/entity/Q176503,бедренная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Femur%20-%20anterior%20view2.png
http://www.wikidata.org/entity/Q176503,бедренная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Thigh%20bone%20-%20Femur%201%20--%20Smart-Servier.png
http://www.wikidata.org/entity/Q578786,грудные позвонки,http://commons.wikimedia.org/wiki/Special:FilePath/Thoracic%20vertebrae%20animation2.gif
http://www.wikidata.org/entity/Q5283631,Нижняя челюсть,http://commons.wikimedia.org/wiki/Special:FilePath/Mandible.jpg
