workLabel,publicationYear,authorLabel,authorCountryLabel
Удивительный волшебник из страны Оз,1900,Лаймен Фрэнк Баум,США
Фауст,1808,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Фауст,1832,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Легенда о Сонной Лощине,,Вашингтон Ирвинг,США
Декамерон,,Джованни Боккаччо,Флорентийская республика
Путешествие на Запад,1592,У Чэнъэнь,империя Мин
Чайка по имени Джонатан Ливингстон,1970,Ричард Бах,США
Поминки по Финнегану,1939,Джеймс Джойс,Ирландия
101 далматинец,1956,Доди Смит,Великобритания
Одиссея,,Ливий Андроник,Древний Рим
Процесс,1925,Франц Кафка,Чехословакия
Дневник Анны Франк,1947,Анна Франк,Германия
Ностромо,1904,Джозеф Конрад,Соединённое королевство Великобритании и Ирландии
Листья травы,1855,Уолт Уитмен,США
Сильмариллион,1977,Джон Рональд Руэл Толкин,Великобритания
Процесс,1925,Франц Кафка,Цислейтания
Эмили из Молодого Месяца,1923,Люси Монтгомери,Канада
"Я, Клавдий",1934,"Грейвс, Роберт",Британская империя
Цитаты Мао Цзэдуна,1964,Мао Цзэдун,Китай
Молитва об Оуэне Мини,1989,"Ирвинг, Джон Уинслоу",США
"Беги, Мелос!",1946,Осаму Дадзай,Япония
История пророков и царей,,Ибн Джарир ат-Табари,Аббасидский халифат
Ваш покорный слуга кот,1905,Нацумэ Сосэки,Япония
Ваш покорный слуга кот,1906,Нацумэ Сосэки,Япония
Ваш покорный слуга кот,1907,Нацумэ Сосэки,Япония
"Там, где живут чудовища",1963,"Сендак, Морис",США
"Хоббит, или Туда и обратно",1937,Джон Рональд Руэл Толкин,Великобритания
Дона Флор и два её мужа,1966,Жоржи Амаду,Бразилия
Повесть временных лет,1200,Нестор Летописец,Киевская Русь
Дневник Анны Франк,1947,Анна Франк,апатрид
Маленький принц,1943,Антуан де Сент-Экзюпери,Франция
Принцесса на горошине,1835,Ханс Кристиан Андерсен,Датско-норвежская уния
Красное и чёрное,1830,Стендаль,Франция
Дон Кихот,1605,Мигель де Сервантес,Испания
Дон Кихот,1615,Мигель де Сервантес,Испания
Калевала,1835,Элиас Лённрот,Великое княжество Финляндское
Калевала,1835,Элиас Лённрот,Швеция
Умирающий свет,1977,Джордж Мартин,США
Принцесса на горошине,1835,Ханс Кристиан Андерсен,Датское королевство
Гадкий утёнок,1843,Ханс Кристиан Андерсен,Датско-норвежская уния
"О, дивный новый мир",1932,Олдос Хаксли,Великобритания
Ляо-чжай-чжи-и,1766,Пу Сунлин,империя Цин
Сон в красном тереме,1792,Цао Сюэцинь,империя Цин
Сон в красном тереме,1800,Цао Сюэцинь,империя Цин
Сон в красном тереме,1868,Цао Сюэцинь,империя Цин
Стойкий оловянный солдатик,1838,Ханс Кристиан Андерсен,Датско-норвежская уния
Как закалялась сталь,1932,Николай Алексеевич Островский,СССР
Гадкий утёнок,1843,Ханс Кристиан Андерсен,Датское королевство
Как закалялась сталь,1932,Николай Алексеевич Островский,Украинская Народная Республика
Как закалялась сталь,1932,Николай Алексеевич Островский,Российская республика
Русалочка,1837,Ханс Кристиан Андерсен,Датско-норвежская уния
Удивительный волшебник из страны Оз,1900,Уильям Денслоу,США
Снежная королева,1844,Ханс Кристиан Андерсен,Датско-норвежская уния
Слепящая тьма,1940,"Кёстлер, Артур",Великобритания
Стойкий оловянный солдатик,1838,Ханс Кристиан Андерсен,Датское королевство
Как закалялась сталь,1932,Николай Алексеевич Островский,Российская империя
Одиссея,,Гомер,
Повесть о Гэндзи,1010,Мурасаки Сикибу,Япония
Русалочка,1837,Ханс Кристиан Андерсен,Датское королевство
Снежная королева,1844,Ханс Кристиан Андерсен,Датское королевство
Слепящая тьма,1940,"Кёстлер, Артур",Австро-Венгрия
День Шакала,1971,"Форсайт, Фредерик",Великобритания
Дюймовочка,1835,Ханс Кристиан Андерсен,Датско-норвежская уния
Новое платье короля,1837,Ханс Кристиан Андерсен,Датско-норвежская уния
Философский камень,1968,Маргерит Юрсенар,Бельгия
Философский камень,1968,Маргерит Юрсенар,Франция
Ностромо,1904,Джозеф Конрад,Великобритания
О народном красноречии,1303,Данте Алигьери,Флорентийская республика
Дюймовочка,1835,Ханс Кристиан Андерсен,Датское королевство
Новое платье короля,1837,Ханс Кристиан Андерсен,Датское королевство
Рамаяна,,Вальмики,
Философский камень,1968,Маргерит Юрсенар,США
Дао дэ цзин,,Стивен Митчелл,США
Ностромо,1904,Джозеф Конрад,Российская империя
Ностромо,1904,Джозеф Конрад,Польская Республика
Илиада,,Гомер,
Унесённые ветром,1936,Маргарет Митчелл,США
Мы,1924,Евгений Иванович Замятин,СССР
Как закалялась сталь,1932,Николай Алексеевич Островский,Украинская Советская Социалистическая Республика
Монархия,1316,Данте Алигьери,Флорентийская республика
Сердце,1886,"Де Амичис, Эдмондо",Королевство Италия
Девочка со спичками,1845,Ханс Кристиан Андерсен,Датско-норвежская уния
Мы,1924,Евгений Иванович Замятин,Российская империя
Страдания юного Вертера,1774,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Врата Анубиса,1983,"Пауэрс, Тим",США
Жизнь есть сон,,Педро Кальдерон де ла Барка,Испания
Вавилонская библиотека,1944,Хорхе Луис Борхес,Аргентина
Хранитель времени,2007,Брайан Селзник,США
Государь,1532,Никколо Макиавелли,Флорентийская республика
Хижина дяди Тома,1852,Гарриет Бичер-Стоу,США
Девочка со спичками,1845,Ханс Кристиан Андерсен,Датское королевство
Ляо-чжай-чжи-и,1766,Пу Сунлин,империя Мин
Государство,-379,Платон,Древние Афины
Песнь о Нибелунгах,1203,"Манчинелли, Лаура",Италия
Песнь о Нибелунгах,1203,"Манчинелли, Лаура",Королевство Италия
Новая жизнь,1295,Данте Алигьери,Флорентийская республика
Колодец и маятник,1842,Эдгар По,США
В ожидании Годо,1952,Сэмюэл Беккет,Франция
Сыновья и любовники,1913,Дэвид Герберт Лоуренс,Великобритания
Алиса в Стране чудес,1865,Льюис Кэрролл,Соединённое королевство Великобритании и Ирландии
В ожидании Годо,1952,Сэмюэл Беккет,Ирландия
"Тим Талер, или Проданный смех",1962,"Крюс, Джеймс",Германия
История западной философии,1945,Бертран Рассел,Соединённое королевство Великобритании и Ирландии
Госпожа Бовари,1857,Гюстав Флобер,Франция
Портрет Дориана Грея,1890,Оскар Уайльд,Соединённое королевство Великобритании и Ирландии
"Франкенштейн, или Современный Прометей",1818,Мэри Шелли,Королевство Великобритания
Саламбо,,Гюстав Флобер,Франция
Улисс,1922,Джеймс Джойс,Ирландия
Шахнаме,1000,Фирдоуси,Газневидское государство
Воскресение,1899,Лев Николаевич Толстой,Российская империя
Тихий Дон,1928,Михаил Александрович Шолохов,СССР
Белый Клык,1906,Джек Лондон,США
Незнакомка из Уайлдфелл-Холла,1848,Энн Бронте,Соединённое королевство Великобритании и Ирландии
Тихий Дон,1928,Михаил Александрович Шолохов,Российская империя
Анна Каренина,1877,Лев Николаевич Толстой,Российская империя
Мария Стюарт,1801,Фридрих Шиллер,Германия
Признания авантюриста Феликса Круля,1954,Томас Манн,Нацистская Германия
"Франкенштейн, или Современный Прометей",1818,Мэри Шелли,Соединённое королевство Великобритании и Ирландии
Признания авантюриста Феликса Круля,1954,Томас Манн,Германская империя
Признания авантюриста Феликса Круля,1954,Томас Манн,Чехословакия
Признания авантюриста Феликса Круля,1954,Томас Манн,США
Лолита,1955,Владимир Владимирович Набоков,США
Лолита,1955,Владимир Владимирович Набоков,Российская империя
Противостояние,1978,Стивен Кинг,США
Шахнаме,1000,Фирдоуси,Саманидское государство
Мария Стюарт,1801,Фридрих Шиллер,Герцогство Вюртемберг
Пышка,1880,Ги де Мопассан,Франция
Гарри Поттер и Орден Феникса,2003,Джоан Роулинг,Великобритания
Капитанская дочка,1836,Александр Сергеевич Пушкин,Российская империя
Зелёная книга,1975,Муаммар Каддафи,Ливия
Дневник горничной,1900,Октав Мирбо,Франция
Ворон,1845,Эдгар По,США
Признания авантюриста Феликса Круля,1954,Томас Манн,Веймарская республика
Старик и море,1952,Эрнест Хемингуэй,США
Три мушкетёра,1844,Александр Дюма-отец,Франция
Три мушкетёра,1845,Александр Дюма-отец,Франция
История западной философии,1945,Бертран Рассел,Великобритания
Портрет Дориана Грея,1890,Оскар Уайльд,Великобритания
Код да Винчи,2003,Дэн Браун,США
Один день Ивана Денисовича,1962,Александр Исаевич Солженицын,СССР
Портрет Дориана Грея,1890,Оскар Уайльд,Ирландия
Один день Ивана Денисовича,1962,Александр Исаевич Солженицын,Россия
Лотта в Веймаре,1939,Томас Манн,Нацистская Германия
Лотта в Веймаре,1939,Томас Манн,Германская империя
Лотта в Веймаре,1939,Томас Манн,Чехословакия
Кристина,1983,Стивен Кинг,США
Отцы и дети,1862,Иван Сергеевич Тургенев,Российская империя
Дао дэ цзин,,Лао-цзы,Чжоу
Заводная,2009,Паоло Бачигалупи,США
Один день Ивана Денисовича,1962,Александр Исаевич Солженицын,РСФСР
Лотта в Веймаре,1939,Томас Манн,США
Царство Божие внутри вас,,Лев Николаевич Толстой,Российская империя
Лотта в Веймаре,1939,Томас Манн,Веймарская республика
Волшебная гора,1924,Томас Манн,США
Оле Лукойе,1841,Ханс Кристиан Андерсен,Датское королевство
Евгений Онегин,1825,Александр Сергеевич Пушкин,Российская империя
Агнес Грей,1847,Энн Бронте,Соединённое королевство Великобритании и Ирландии
Ангелы и демоны,2000,Дэн Браун,США
Сорок дней Муса-Дага,1933,Франц Верфель,Первая Австрийская Республика
Мёртвая зона,1979,Стивен Кинг,США
Парень из Колорадо,2005,Стивен Кинг,США
Война и мир,1869,Лев Николаевич Толстой,Российская империя
Волшебная гора,1924,Томас Манн,Веймарская республика
Убийство на улице Морг,1841,Эдгар По,США
Портрет художника в юности,1916,Джеймс Джойс,Ирландия
Дуинские элегии,1923,Райнер Мария Рильке,Германия
Дуинские элегии,1923,Райнер Мария Рильке,Австрия
Гарри Поттер и узник Азкабана,1999,Джоан Роулинг,Великобритания
Грозовой перевал,1847,Эмили Бронте,Соединённое королевство Великобритании и Ирландии
Талисман,1984,Стивен Кинг,США
Смерть Вергилия,1945,Герман Брох,Австрия
Пир,1304,Данте Алигьери,Флорентийская республика
Безымянный,1953,Сэмюэл Беккет,Франция
Дуинские элегии,1923,Райнер Мария Рильке,Австро-Венгрия
Иосиф и его братья,1943,Томас Манн,Нацистская Германия
Ученик Чародея,1797,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Иосиф и его братья,1943,Томас Манн,Германская империя
Иосиф и его братья,1943,Томас Манн,Чехословакия
Цифровая крепость,1998,Дэн Браун,США
Гарри Поттер и Тайная комната,1998,Джоан Роулинг,Великобритания
Великий Гэтсби,1925,Фрэнсис Скотт Фицджеральд,США
Смерть Вергилия,1945,Герман Брох,США
Безымянный,1953,Сэмюэл Беккет,Ирландия
Бесконечная история,1979,Михаэль Энде,Германия
Иосиф и его братья,1943,Томас Манн,США
Гарри Поттер и философский камень,1997,Джоан Роулинг,Великобритания
Венера в мехах,1870,Леопольд фон Захер-Мазох,Австрия
За́мок,1926,Франц Кафка,Чехословакия
Гарри Поттер и Кубок огня,2000,Джоан Роулинг,Великобритания
Иосиф и его братья,1943,Томас Манн,Веймарская республика
Гарри Поттер и Дары Смерти,2007,Джоан Роулинг,Великобритания
За́мок,1926,Франц Кафка,Цислейтания
Кристина Хофленер,1982,Стефан Цвейг,Великобритания
Чёрный дом,,Стивен Кинг,США
Саламейский алькальд,,Педро Кальдерон де ла Барка,Испания
Гарри Поттер и Принц-полукровка,2005,Джоан Роулинг,Великобритания
Кентервильское привидение,1887,Оскар Уайльд,Великобритания
Контрапункт,1928,Олдос Хаксли,Великобритания
Кристина Хофленер,1982,Стефан Цвейг,Австро-Венгрия
Роза Марена,1995,Стивен Кинг,США
Кентервильское привидение,1887,Оскар Уайльд,Ирландия
Бувар и Пекюше,1881,Гюстав Флобер,Франция
Еврейка из Толедо,1955,Лион Фейхтвангер,Германия
Еврейка из Толедо,1955,Лион Фейхтвангер,Германская империя
Чтец,1995,"Шлинк, Бернхард",Германия
Разбойники,1781,Фридрих Шиллер,Германия
Джим Пуговка и машинист Лукас,1960,Михаэль Энде,Германия
Еврейка из Толедо,1955,Лион Фейхтвангер,США
Люди бездны,1903,Джек Лондон,США
Коварство и любовь,1784,Фридрих Шиллер,Германия
Доктор Фаустус,1947,Томас Манн,Нацистская Германия
Доктор Фаустус,1947,Томас Манн,Германская империя
Доктор Фаустус,1947,Томас Манн,Чехословакия
Америка,1927,Франц Кафка,Чехословакия
Еврейка из Толедо,1955,Лион Фейхтвангер,Веймарская республика
Превращение,1915,Франц Кафка,Чехословакия
Мобильник,2006,Стивен Кинг,США
Костёр,1902,Джек Лондон,США
Верноподданный,1918,Генрих Манн,Германия
Разбойники,1781,Фридрих Шиллер,Герцогство Вюртемберг
Доктор Фаустус,1947,Томас Манн,США
Сорок дней Муса-Дага,1933,Франц Верфель,Сословное государство Австрия
Америка,1927,Франц Кафка,Цислейтания
Севильский цирюльник,1775,Пьер Огюстен Бомарше,Франция
Превращение,1915,Франц Кафка,Цислейтания
Утраченный символ,2009,Дэн Браун,США
Чёрный кот,1843,Эдгар По,США
Коварство и любовь,1784,Фридрих Шиллер,Герцогство Вюртемберг
Доктор Фаустус,1947,Томас Манн,Веймарская республика
Сорок дней Муса-Дага,1933,Франц Верфель,США
Сорок дней Муса-Дага,1933,Франц Верфель,Австро-Венгрия
Кристина Хофленер,1982,Стефан Цвейг,Соединённое королевство Великобритании и Ирландии
Алиса в Зазеркалье,1871,Льюис Кэрролл,Соединённое королевство Великобритании и Ирландии
Волшебная гора,1924,Томас Манн,Нацистская Германия
Странствия по марке Бранденбург,1862,Теодор Фонтане,Германская империя
Оле Лукойе,1841,Ханс Кристиан Андерсен,Датско-норвежская уния
Волшебная гора,1924,Томас Манн,Германская империя
Волшебная гора,1924,Томас Манн,Чехословакия
Сорок дней Муса-Дага,1933,Франц Верфель,Германская Австрия
Сияние,1977,Стивен Кинг,США
История моей жизни,,"Казанова, Джакомо",Венецианская республика
Точка обмана,2001,Дэн Браун,США
Кентервильское привидение,1887,Оскар Уайльд,Соединённое королевство Великобритании и Ирландии
Лесной царь,1782,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Воспламеняющая взглядом,1980,Стивен Кинг,США
Волки Кальи,2003,Стивен Кинг,США
Неизвестный Мао,2005,Юн Чжан,Великобритания
Песня о Гайавате,1855,Генри Уодсворт Лонгфелло,США
Мистер Рипли под землёй,1970,"Хайсмит, Патриция",США
Нейромант,1984,Уильям Гибсон,США
Маленький лорд Фаунтлерой,1885,Фрэнсис Элиза Бёрнетт,Соединённое королевство Великобритании и Ирландии
Как Гринч украл Рождество,1957,Доктор Сьюз,США
Войцек,1875,Георг Бюхнер,Германия
Войцек,1879,Георг Бюхнер,Германия
Иосиф и его братья,1943,Соломон Константинович Апт,СССР
Иосиф и его братья,1943,Соломон Константинович Апт,Россия
Джейн Эйр,1847,Шарлотта Бронте,Соединённое королевство Великобритании и Ирландии
Пересадочная станция,1963,Клиффорд Дональд Саймак,США
Нейромант,1984,Уильям Гибсон,Канада
Жёлтые обои,1995,"Гилман, Шарлотта Перкинс",США
Талантливый мистер Рипли,1955,"Хайсмит, Патриция",США
Молот ведьм,1489,"Саммерс, Монтегю",Соединённое королевство Великобритании и Ирландии
Хайди,1880,"Шпири, Иоганна",Швейцария
1Q84,2009,Харуки Мураками,Япония
1Q84,2010,Харуки Мураками,Япония
Имя мне — Красный,1998,Орхан Памук,Турция
Двенадцать стульев,1928,Евгений Петрович Петров,СССР
Двенадцать стульев,1928,Евгений Петрович Петров,Российская империя
Путешествие Пилигрима в Небесную Страну,1678,Джон Баньян,Королевство Англия
Ямы,1998,"Сачар, Луис",США
Дающий,2000,Лоис Лоури,США
Элементарные частицы,1998,Мишель Уэльбек,Франция
Комната с видом на Арно,1908,Эдвард Морган Форстер,Великобритания
Врата,1976,"Пол, Фредерик",США
Врата,1977,"Пол, Фредерик",США
Книга об исландцах,1130,Ари Торгильссон,Исландия
Герой с тысячью лицами,1949,Джозеф Кэмпбелл,США
Стёпка-Растрёпка,1845,Генрих Гофман,Германия
Виноваты звёзды,2012,Джон Грин,США
Мишне Тора,,Маймонид,аль-Андалус
Ганнибал: Восхождение (роман),2006,Томас Харрис,США
Мидлмарч: Картины провинциальной жизни,1871,Джордж Элиот,Соединённое королевство Великобритании и Ирландии
Таинственный сад,1911,Фрэнсис Элиза Бёрнетт,Великобритания
"Кони, кони",1992,"Маккарти, Кормак",США
Сокровенное сказание монголов,1240,Цэндийн Дамдинсурэн,Монголия
Доктор Фаустус,1947,Соломон Константинович Апт,СССР
Armageddon 2419 A.D.,1928,"Нолан, Филип Фрэнсис",США
Атлант расправил плечи,1957,Айн Рэнд,СССР
Доктор Фаустус,1947,Соломон Константинович Апт,Россия
Призрак Оперы,1910,Гастон Леру,Франция
Атлант расправил плечи,1957,Айн Рэнд,Российская республика
Маленький лорд Фаунтлерой,1885,Фрэнсис Элиза Бёрнетт,Великобритания
Таинственный сад,1911,Фрэнсис Элиза Бёрнетт,США
Панчатантра,,Вишну Шарма,
Роман о Розе,,Гильом де Лоррис,Франция
Тереза Ракен,1867,Эмиль Золя,Франция
Атлант расправил плечи,1957,Айн Рэнд,США
Атлант расправил плечи,1957,Айн Рэнд,Российская империя
Маленький лорд Фаунтлерой,1885,Фрэнсис Элиза Бёрнетт,США
Маленькие женщины,1869,Луиза Мей Олкотт,США
Убить пересмешника,1960,"Ли, Харпер",США
Гостья,2008,Стефани Майер,США
Крёстный отец,1969,"Пьюзо, Марио",США
Парфюмер. История одного убийцы,1985,Патрик Зюскинд,Германия
Молот ведьм,1489,"Саммерс, Монтегю",Англия
Молот ведьм,1489,"Саммерс, Монтегю",Великобритания
Атлант расправил плечи,1957,Айн Рэнд,Российская Советская Федеративная Социалистическая Республика
Алексиада,1148,Анна Комнина,Византия
Церковная история народа англов,,Беда Достопочтенный,Нортумбрия
Ватек,1786,Уильям Бекфорд,Великобритания
Наказывающий сам себя,,Публий Теренций Афр,Карфаген
Изюминка на солнце,,Лоррейн Хэнсберри,США
Деяния архиепископов гамбургской церкви,,Адам Бременский,Германия
Наказывающий сам себя,,Публий Теренций Афр,Древний Рим
Паутина Шарлотты,1954,Элвин Брукс Уайт,США
Стеклянный зверинец,,"Уильямс, Теннесси",США
Уловка-22,1961,"Хеллер, Джозеф",США
"Книга Премудрости Иисуса, сына Сирахова",,Иесус бен Сира,
Двенадцать стульев,1928,Илья Арнольдович Ильф,СССР
Исповедь экономического убийцы,2004,Джон Перкинс,США
Гитаговинда,1808,Джаядева,
Камасутра,,Ватсьяяна Малланага,Государство Гуптов
Эрагон. Возвращение,2005,Кристофер Паолини,США
Мир Софии,1991,"Гордер, Юстейн",Норвегия
Она (роман),1887,"Хаггард, Генри Райдер",Соединённое королевство Великобритании и Ирландии
Двенадцать стульев,1928,Илья Арнольдович Ильф,Российская империя
Комната с видом на Арно,1908,Эдвард Морган Форстер,Соединённое королевство Великобритании и Ирландии
Дом Листьев,2000,"Данилевский, Марк",США
Двери в песке,1976,Роджер Желязны,США
Ватек,1786,Уильям Бекфорд,Королевство Великобритания
Дон Джезуальдо,1889,Джованни Верга,Королевство Италия
Бустан,,Саади,
Обделённые,1974,Урсула Крёбер Ле Гуин,США
Сказки братьев Гримм,1812,"Крейн, Люси",Соединённое королевство Великобритании и Ирландии
Сказки братьев Гримм,1813,"Крейн, Люси",Соединённое королевство Великобритании и Ирландии
Сказки братьев Гримм,1819,"Крейн, Люси",Соединённое королевство Великобритании и Ирландии
Ча цзин,,Лу Юй,Империя Тан
Заводной апельсин,1962,Энтони Бёрджесс,Великобритания
Американские боги,2001,Нил Гейман,Великобритания
Ватек,1786,Уильям Бекфорд,Британская империя
Оленёнок,1938,Марджори Киннан Ролингс,США
Начала (Катон),,Марк Порций Катон Старший,Древний Рим
Бог мелочей,1997,"Рой, Арундати",Индия
Таинственный сад,1911,Фрэнсис Элиза Бёрнетт,Соединённое королевство Великобритании и Ирландии
Исповедь,,Аврелий Августин,Древний Рим
Сказки братьев Гримм,1812,Вильгельм Гримм,Германия
Сказки братьев Гримм,1813,Вильгельм Гримм,Германия
Сказки братьев Гримм,1819,Вильгельм Гримм,Германия
Сказки братьев Гримм,1812,Вильгельм Гримм,Гессен-Кассель
Сказки братьев Гримм,1813,Вильгельм Гримм,Гессен-Кассель
Сказки братьев Гримм,1819,Вильгельм Гримм,Гессен-Кассель
Геометрия,1637,Рене Декарт,Франция
Степной волк,1927,Герман Гессе,Германия
Степной волк,1927,Герман Гессе,Швейцария
Степной волк,1927,Герман Гессе,Германская империя
Похождения бравого солдата Швейка,1921,Ярослав Гашек,Чехословакия
Степной волк,1927,Герман Гессе,Российская империя
Чайка,1896,Антон Павлович Чехов,Российская империя
Игрок,1867,Фёдор Михайлович Достоевский,Российская империя
Сказки братьев Гримм,1812,Якоб Гримм,Курфюршество Гессен
Сказки братьев Гримм,1813,Якоб Гримм,Курфюршество Гессен
Сказки братьев Гримм,1819,Якоб Гримм,Курфюршество Гессен
Повесть о двух городах,1859,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Пена дней,1947,Борис Виан,Франция
Цзы чжи тун цзянь,1084,Сыма Гуан,Империя Сун
Посторонний,1942,Альбер Камю,Франция
Скупой,1668,Мольер,Королевство Франция
Об ораторе,,Марк Туллий Цицерон,Древний Рим
Похождения бравого солдата Швейка,1921,Ярослав Гашек,Австро-Венгрия
Исследование о природе и причинах богатства народов,1776,Адам Смит,Королевство Великобритания
Сказки братьев Гримм,1812,Вильгельм Гримм,Королевство Пруссия
Сказки братьев Гримм,1813,Вильгельм Гримм,Королевство Пруссия
Сказки братьев Гримм,1819,Вильгельм Гримм,Королевство Пруссия
Алхимик,1988,Пауло Коэльо,Бразилия
Электра,,Софокл,Древние Афины
Таинственный остров,1875,Жюль Верн,Франция
Странная история доктора Джекила и мистера Хайда,1886,Роберт Льюис Стивенсон,Соединённое королевство Великобритании и Ирландии
Фиаско,1986,Станислав Лем,Польша
Сид,,Пьер Корнель,Королевство Франция
Обручённые,1827,Алессандро Мандзони,Королевство Италия
Аякс,,Софокл,Древние Афины
О государстве,-52,Марк Туллий Цицерон,Древний Рим
Имя розы,1980,Умберто Эко,Италия
Имя розы,1980,Умберто Эко,Королевство Италия
Энеида,-100,Вергилий,Древний Рим
Лунь юй,-480,Конфуций,Лу
Посмертные записки Пиквикского клуба,1836,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Царь Эдип,,Софокл,Древние Афины
